Area of Visit,Port of Entry,Percentage
Nagano,Hiroshima,0.0818
Nagano,Sakai Port,0
Nagano,Kanmon (Shimonoseki) Port,0
Nagano,Takamatsu,0
Nagano,Fukuoka,0.5112
Nagano,Hakata Port,0.053
Nagano,Saga,0
Nagano,Izuhara Port,0
Nagano,Miyazaki,0
Nagano,Kagoshima,0.0254
Nagano,Naha,0.0494
Nagano,Other,0.1524
Gifu,New Chitose,0.0835
Gifu,Hakodate,0
Gifu,Aomori,0
Gifu,Sendai,0
Gifu,Ibaraki,0
Gifu,Haneda,17.1304
Gifu,Narita,17.6371
Gifu,Komatsu,4.2434
Gifu,Toyama,0.2166
Gifu,Mt.Fuji Shizuoka,0.0357
Gifu,Chubu,47.5404
Gifu,Kansai,12.4895
Gifu,Yonago,0
Gifu,Okayama,0
Gifu,Hiroshima,0
Gifu,Sakai Port,0
Gifu,Kanmon (Shimonoseki) Port,0
Gifu,Takamatsu,0
Gifu,Fukuoka,0.4133
Gifu,Hakata Port,0.0902
Gifu,Saga,0
Gifu,Izuhara Port,0
Gifu,Miyazaki,0
Gifu,Kagoshima,0
Gifu,Naha,0.0222
Gifu,Other,0.0977
Shizuoka,New Chitose,0.1815
Shizuoka,Hakodate,0
Shizuoka,Aomori,0
Shizuoka,Sendai,0.058
Shizuoka,Ibaraki,0.0083
Shizuoka,Haneda,23.8131
Shizuoka,Narita,49.0568
Shizuoka,Komatsu,0
Shizuoka,Toyama,0.0327
Shizuoka,Mt.Fuji Shizuoka,3.9005
Shizuoka,Chubu,7.5143
Shizuoka,Kansai,13.7564
Shizuoka,Yonago,0
Shizuoka,Okayama,0.1463
Shizuoka,Hiroshima,0.022
Shizuoka,Sakai Port,0
Shizuoka,Kanmon (Shimonoseki) Port,0
Shizuoka,Takamatsu,0
Shizuoka,Fukuoka,0.4937
Shizuoka,Hakata Port,0.0719
Shizuoka,Saga,0
Shizuoka,Izuhara Port,0
Shizuoka,Miyazaki,0
Shizuoka,Kagoshima,0
Shizuoka,Naha,0.0893
Shizuoka,Other,0.8552
Aichi,New Chitose,0.3646
Aichi,Hakodate,0
Aichi,Aomori,0
Aichi,Sendai,0
Aichi,Ibaraki,0
Aichi,Haneda,8.3974
Aichi,Narita,16.4983
Aichi,Komatsu,1.9103
Aichi,Toyama,0.0352
Aichi,Mt.Fuji Shizuoka,0.0705
Aichi,Chubu,56.6098
Aichi,Kansai,14.8576
Aichi,Yonago,0
Aichi,Okayama,0.0008
Aichi,Hiroshima,0.032
Aichi,Sakai Port,0
