Area of Visit,Places to Shop,Percentage
Mie,Service areas on expressways/Michi-no-eki (Road Stations),17.8524
Mie,Tourist souvenir shops,53.0688
Mie,Accomodation facilities,5.7699
Mie,Supermarkets,48.6347
Mie,Convenience stores,87.1602
Mie,Drugstores,68.9034
Mie,Discount stores,33.142
Mie,Outlet malls,42.7583
Mie,Commercial complexes in urban centers,19.6221
Mie,Other shopping centers,8.7188
Mie,Railway station boutiques,7.5093
Mie,Airport duty-free stores,77.3247
Mie,Stores at a port of call by cruise ship,0.4019
Mie,Other,1.6378
Mie,I did not go shopping.,0.2049
Shiga,Department stores,61.8155
Shiga,Consumer electronics stores,23.0507
Shiga,Fashion boutiques,26.3965
Shiga,100 Yen Shops,17.1643
Shiga,Service areas on expressways/Michi-no-eki (Road Stations),10.6786
Shiga,Tourist souvenir shops,54.3515
Shiga,Accomodation facilities,7.3365
Shiga,Supermarkets,58.0704
Shiga,Convenience stores,87.1087
Shiga,Drugstores,75.2765
Shiga,Discount stores,12.1504
Shiga,Outlet malls,17.243
Shiga,Commercial complexes in urban centers,20.2683
Shiga,Other shopping centers,15.5397
Shiga,Railway station boutiques,11.346
Shiga,Airport duty-free stores,62.7048
Shiga,Stores at a port of call by cruise ship,1.4224
Shiga,Other,6.0327
Shiga,I did not go shopping.,0
Kyoto,Department stores,65.8961
Kyoto,Consumer electronics stores,17.9209
Kyoto,Fashion boutiques,28.3596
Kyoto,100 Yen Shops,16.0101
Kyoto,Service areas on expressways/Michi-no-eki (Road Stations),4.0479
Kyoto,Tourist souvenir shops,51.3263
Kyoto,Accomodation facilities,4.9015
Kyoto,Supermarkets,51.019
Kyoto,Convenience stores,88.3904
Kyoto,Drugstores,60.7688
Kyoto,Discount stores,25.9352
Kyoto,Outlet malls,13.3167
Kyoto,Commercial complexes in urban centers,22.2874
Kyoto,Other shopping centers,14.2966
Kyoto,Railway station boutiques,13.368
Kyoto,Airport duty-free stores,57.7225
Kyoto,Stores at a port of call by cruise ship,0.5764
Kyoto,Other,2.5119
Kyoto,I did not go shopping.,0.2066
Osaka,Department stores,66.1612
Osaka,Consumer electronics stores,17.3474
Osaka,Fashion boutiques,26.2118
Osaka,100 Yen Shops,16.257
Osaka,Service areas on expressways/Michi-no-eki (Road Stations),3.704
Osaka,Tourist souvenir shops,45.1713
Osaka,Accomodation facilities,5.4853
Osaka,Supermarkets,50.4208
Osaka,Convenience stores,88.3062
Osaka,Drugstores,63.0739
Osaka,Discount stores,25.4657
Osaka,Outlet malls,13.6002
Osaka,Commercial complexes in urban centers,22.313
Osaka,Other shopping centers,14.4737
Osaka,Railway station boutiques,11.8211
Osaka,Airport duty-free stores,58.813
Osaka,Stores at a port of call by cruise ship,0.5242
Osaka,Other,2.1973
Osaka,I did not go shopping.,0.2104
Hyogo,Department stores,64.9634
Hyogo,Consumer electronics stores,20.0692
Hyogo,Fashion boutiques,26.0219
Hyogo,100 Yen Shops,17.6877
Hyogo,Service areas on expressways/Michi-no-eki (Road Stations),4.0284
Hyogo,Tourist souvenir shops,48.9987
Hyogo,Accomodation facilities,5.4209
Hyogo,Supermarkets,54.2726
Hyogo,Convenience stores,87.6553
Hyogo,Drugstores,65.5205
Hyogo,Discount stores,22.0992
Hyogo,Outlet malls,15.2771
Hyogo,Commercial complexes in urban centers,24.6869
Hyogo,Other shopping centers,15.5958
Hyogo,Railway station boutiques,11.6359
Hyogo,Airport duty-free stores,59.8481
Hyogo,Stores at a port of call by cruise ship,1.2233
Hyogo,Other,2.5919
Hyogo,I did not go shopping.,0.28
Nara,Department stores,62.4349
Nara,Consumer electronics stores,19.296
Nara,Fashion boutiques,29.5308
Nara,100 Yen Shops,15.0792
Nara,Service areas on expressways/Michi-no-eki (Road Stations),5.6398
Nara,Tourist souvenir shops,57.7034
Nara,Accomodation facilities,4.6827
Nara,Supermarkets,51.1308
Nara,Convenience stores,87.6043
Nara,Drugstores,60.354
Nara,Discount stores,27.8914
Nara,Outlet malls,13.0657
Nara,Commercial complexes in urban centers,22.874
Nara,Other shopping centers,16.4923
Nara,Railway station boutiques,12.1095
Nara,Airport duty-free stores,56.6788
Nara,Stores at a port of call by cruise ship,0.4988
Nara,Other,3.3571
Nara,I did not go shopping.,0.1867
Wakayama,Department stores,61.7651
Wakayama,Consumer electronics stores,17.0545
Wakayama,Fashion boutiques,24.4749
Wakayama,100 Yen Shops,17.5191
Wakayama,Service areas on expressways/Michi-no-eki (Road Stations),7.5633
Wakayama,Tourist souvenir shops,56.1904
Wakayama,Accomodation facilities,7.1909
Wakayama,Supermarkets,58.7776
Wakayama,Convenience stores,88.179
Wakayama,Drugstores,60.2059
Wakayama,Discount stores,17.2674
Wakayama,Outlet malls,15.1209
Wakayama,Commercial complexes in urban centers,21.1569
Wakayama,Other shopping centers,15.1216
Wakayama,Railway station boutiques,15.5594
Wakayama,Airport duty-free stores,56.133
Wakayama,Stores at a port of call by cruise ship,0.7256
Wakayama,Other,4.1048
Wakayama,I did not go shopping.,0.6661
Tottori,Department stores,53.554
Tottori,Consumer electronics stores,15.8338
Tottori,Fashion boutiques,14.4446
Tottori,100 Yen Shops,18.5308
Tottori,Service areas on expressways/Michi-no-eki (Road Stations),12.0738
Tottori,Tourist souvenir shops,53.1956
Tottori,Accomodation facilities,12.6305
Tottori,Supermarkets,59.8233
Tottori,Convenience stores,81.2292
Tottori,Drugstores,59.2938
Tottori,Discount stores,15.1698
Tottori,Outlet malls,23.5203
Tottori,Commercial complexes in urban centers,16.3376
Tottori,Other shopping centers,15.068
Tottori,Railway station boutiques,19.0756
Tottori,Airport duty-free stores,46.3436
Tottori,Stores at a port of call by cruise ship,3.7494
Tottori,Other,5.9074
Tottori,I did not go shopping.,0.5564
Shimane,Department stores,56.1011
Shimane,Consumer electronics stores,16.9693
Shimane,Fashion boutiques,17.0143
Shimane,100 Yen Shops,13.2629
Shimane,Service areas on expressways/Michi-no-eki (Road Stations),7.2241
Shimane,Tourist souvenir shops,50.3482
Shimane,Accomodation facilities,9.7401
Shimane,Supermarkets,54.9597
Shimane,Convenience stores,85.0793
Shimane,Drugstores,55.5275
Shimane,Discount stores,10.5515
Shimane,Outlet malls,22.8387
Shimane,Commercial complexes in urban centers,11.5531
Shimane,Other shopping centers,23.3064
Shimane,Railway station boutiques,18.9893
Shimane,Airport duty-free stores,42.4223
Shimane,Stores at a port of call by cruise ship,3.4993
Shimane,Other,5.0613
Shimane,I did not go shopping.,0.4031
Okayama,Department stores,63.0413
Okayama,Consumer electronics stores,22.4765
Okayama,Fashion boutiques,23.9166
Okayama,100 Yen Shops,21.8275
Okayama,Service areas on expressways/Michi-no-eki (Road Stations),10.0332
Okayama,Tourist souvenir shops,53.6377
Okayama,Accomodation facilities,7.8294
Okayama,Supermarkets,65.195
Okayama,Convenience stores,84.4209
Okayama,Drugstores,61.7198
Okayama,Discount stores,14.3845
Okayama,Outlet malls,22.3611
Okayama,Commercial complexes in urban centers,21.4343
Okayama,Other shopping centers,17.3668
Okayama,Railway station boutiques,21.4987
Okayama,Airport duty-free stores,38.7104
Okayama,Stores at a port of call by cruise ship,2.4714
Okayama,Other,3.3832
Okayama,I did not go shopping.,0.7497
Hiroshima,Department stores,59.0303
