Area of Visit,Port of Departure,Percentage
Kyoto,Yonago,0.0018
Kyoto,Okayama,0.0714
Kyoto,Hiroshima,0.0233
Kyoto,Sakai Port,0
Kyoto,Kanmon (Shimonoseki) Port,0
Kyoto,Takamatsu,0.0464
Kyoto,Fukuoka,0.3267
Kyoto,Hakata Port,0.0045
Kyoto,Saga,0.0019
Kyoto,Izuhara Port,0
Kyoto,Miyazaki,0
Kyoto,Kagoshima,0.0037
Kyoto,Naha,0.0182
Kyoto,Other,0
Osaka,New Chitose,0.1997
Osaka,Hakodate,0
Osaka,Aomori,0
Osaka,Sendai,0.0083
Osaka,Ibaraki,0
Osaka,Haneda,11.3151
Osaka,Narita,16.9903
Osaka,Komatsu,0.025
Osaka,Toyama,0.0228
Osaka,Mt.Fuji Shizuoka,0.037
Osaka,Chubu,1.3122
Osaka,Kansai,69.4347
Osaka,Yonago,0.004
Osaka,Okayama,0.1022
Osaka,Hiroshima,0.0298
Osaka,Sakai Port,0.0004
Osaka,Kanmon (Shimonoseki) Port,0.0063
Osaka,Takamatsu,0.0675
Osaka,Fukuoka,0.381
Osaka,Hakata Port,0.0034
Osaka,Saga,0.0014
Osaka,Izuhara Port,0
Osaka,Miyazaki,0
Osaka,Kagoshima,0.0042
Osaka,Naha,0.0548
Osaka,Other,0
Hyogo,New Chitose,0.0633
Hyogo,Hakodate,0
Hyogo,Aomori,0
Hyogo,Sendai,0.0261
Hyogo,Ibaraki,0
Hyogo,Haneda,9.5942
Hyogo,Narita,14.0911
Hyogo,Komatsu,0
Hyogo,Toyama,0
Hyogo,Mt.Fuji Shizuoka,0.0019
Hyogo,Chubu,0.7171
Hyogo,Kansai,73.9328
Hyogo,Yonago,0.0108
Hyogo,Okayama,0.7226
Hyogo,Hiroshima,0.0935
Hyogo,Sakai Port,0
Hyogo,Kanmon (Shimonoseki) Port,0.0245
Hyogo,Takamatsu,0.2828
Hyogo,Fukuoka,0.4177
Hyogo,Hakata Port,0
Hyogo,Saga,0
Hyogo,Izuhara Port,0
Hyogo,Miyazaki,0
Hyogo,Kagoshima,0.0216
Hyogo,Naha,0
Hyogo,Other,0
Nara,New Chitose,0.0205
Nara,Hakodate,0
Nara,Aomori,0
Nara,Sendai,0
Nara,Ibaraki,0
Nara,Haneda,17.0872
Nara,Narita,30.7636
Nara,Komatsu,0.005
Nara,Toyama,0.0356
Nara,Mt.Fuji Shizuoka,0.0843
Nara,Chubu,1.4909
Nara,Kansai,50.2928
Nara,Yonago,0
Nara,Okayama,0.0579
Nara,Hiroshima,0
Nara,Sakai Port,0
Nara,Kanmon (Shimonoseki) Port,0
Nara,Takamatsu,0.0071
Nara,Fukuoka,0.1552
Nara,Hakata Port,0
Nara,Saga,0
Nara,Izuhara Port,0
Nara,Miyazaki,0
Nara,Kagoshima,0
Nara,Naha,0
Nara,Other,0
Wakayama,New Chitose,0.0743
Wakayama,Hakodate,0
Wakayama,Aomori,0
Wakayama,Sendai,0
Wakayama,Ibaraki,0
Wakayama,Haneda,14.354
Wakayama,Narita,16.8647
Wakayama,Komatsu,0
Wakayama,Toyama,0.016
Wakayama,Mt.Fuji Shizuoka,0
Wakayama,Chubu,1.5901
