Area of Visit,Sex/Age,Percentage
Oita,Female/50~59,8.4419
Oita,Female/60~69,4.451
Oita,Female/70+,1.4548
Miyazaki,Male/0~19,0.9162
Miyazaki,Male/20~29,9.6581
Miyazaki,Male/30~39,11.9569
Miyazaki,Male/40~49,8.0424
Miyazaki,Male/50~59,5.4304
Miyazaki,Male/60~69,8.6065
Miyazaki,Male/70+,1.8632
Miyazaki,Female/0~19,0.1052
Miyazaki,Female/20~29,7.1123
Miyazaki,Female/30~39,14.0065
Miyazaki,Female/40~49,16.5495
Miyazaki,Female/50~59,10.6683
Miyazaki,Female/60~69,4.4895
Miyazaki,Female/70+,0.5949
Kagoshima,Male/0~19,1.5876
Kagoshima,Male/20~29,9.1852
Kagoshima,Male/30~39,17.5954
Kagoshima,Male/40~49,9.6265
Kagoshima,Male/50~59,7.279
Kagoshima,Male/60~69,6.9964
Kagoshima,Male/70+,4.3526
Kagoshima,Female/0~19,1.072
Kagoshima,Female/20~29,6.074
Kagoshima,Female/30~39,12.8135
Kagoshima,Female/40~49,8.7331
Kagoshima,Female/50~59,6.7387
Kagoshima,Female/60~69,5.3835
Kagoshima,Female/70+,2.5626
Okinawa,Male/0~19,1.4029
Okinawa,Male/20~29,9.937
Okinawa,Male/30~39,17.9169
Okinawa,Male/40~49,11.2863
Okinawa,Male/50~59,5.4703
Okinawa,Male/60~69,3.2902
Okinawa,Male/70+,0.5801
Okinawa,Female/0~19,1.2016
Okinawa,Female/20~29,12.1699
Okinawa,Female/30~39,18.3061
Okinawa,Female/40~49,10.0019
Okinawa,Female/50~59,5.7688
Okinawa,Female/60~69,1.9122
Okinawa,Female/70+,0.756
Hokkaido Region,Male/0~19,1.2413
Hokkaido Region,Male/20~29,15.2368
Hokkaido Region,Male/30~39,17.2009
Hokkaido Region,Male/40~49,9.5952
Hokkaido Region,Male/50~59,5.8441
Hokkaido Region,Male/60~69,3.7395
Hokkaido Region,Male/70+,1.1143
Hokkaido Region,Female/0~19,0.8995
Hokkaido Region,Female/20~29,10.8501
Hokkaido Region,Female/30~39,13.2722
Hokkaido Region,Female/40~49,9.5865
Hokkaido Region,Female/50~59,7.0581
Hokkaido Region,Female/60~69,3.3981
Hokkaido Region,Female/70+,0.9636
Tohoku Region,Male/0~19,1.2842
Tohoku Region,Male/20~29,12.4803
Tohoku Region,Male/30~39,14.2563
Tohoku Region,Male/40~49,9.0248
Tohoku Region,Male/50~59,7.8333
Tohoku Region,Male/60~69,5.8662
Tohoku Region,Male/70+,1.3337
Tohoku Region,Female/0~19,0.8571
Tohoku Region,Female/20~29,7.7122
Tohoku Region,Female/30~39,12.2775
